BackgroundSound,emotion,emotionr,emotiong,emotionb
music+people talking,Stressed,255,255,0
music,happy,139,90,0
ac,bored,205,0,205
nothing,blank,205,0,205
mouse clicking,confused,0,206,209
model making,working,113,113,198
model making,busy,113,113,198
elevator+cars,tired,113,113,198
people eating,irritated,113,113,198
